Pathway	Article Count	Success Rate	Times Found	Total Occurrences
Antigen processing and presentation	500	0.9333333333333333	14	15
Antigen processing and presentation	600	0.9333333333333333	14	15
Antigen processing and presentation	700	0.9333333333333333	14	15
Antigen processing and presentation	800	1.0	15	15
Antigen processing and presentation	900	1.0	15	15
Antigen processing and presentation	1000	1.0	8	8
Apelin signaling pathway	0	1.0	4	4
Apelin signaling pathway	10	0.75	3	4
Apelin signaling pathway	20	1.0	4	4
Apelin signaling pathway	30	1.0	4	4
Apelin signaling pathway	40	1.0	4	4
Apelin signaling pathway	50	1.0	4	4
Apelin signaling pathway	100	1.0	4	4
Apelin signaling pathway	200	1.0	4	4
Apelin signaling pathway	300	1.0	3	3
Apelin signaling pathway	400	1.0	3	3
Apelin signaling pathway	500	1.0	3	3
Apelin signaling pathway	600	1.0	3	3
Apelin signaling pathway	700	1.0	3	3
Apelin signaling pathway	800	1.0	3	3
Apelin signaling pathway	900	1.0	3	3
Apelin signaling pathway	1000	1.0	1	1
Apoptosis	0	0.782608695652174	18	23
Apoptosis	10	0.8181818181818182	18	22
Apoptosis	20	0.7272727272727273	16	22
Apoptosis	30	0.8095238095238095	17	21
Apoptosis	40	0.8095238095238095	17	21
Apoptosis	50	0.7619047619047619	16	21
Apoptosis	100	0.7368421052631579	14	19
Apoptosis	200	0.8235294117647058	14	17
Apoptosis	300	0.7647058823529411	13	17
Apoptosis	400	0.7647058823529411	13	17
Apoptosis	500	0.7647058823529411	13	17
Apoptosis	600	0.7647058823529411	13	17
Apoptosis	700	0.7647058823529411	13	17
Apoptosis	800	0.8235294117647058	14	17
Apoptosis	900	0.75	12	16
Apoptosis	1000	0.7142857142857143	5	7
Arachidonic acid metabolism	0	1.0	4	4
Arachidonic acid metabolism	10	1.0	2	2
Arachidonic acid metabolism	20	1.0	2	2
Arachidonic acid metabolism	30	1.0	1	1
Arginine and proline metabolism	0	1.0	5	5
Arginine and proline metabolism	10	1.0	5	5
Arginine and proline metabolism	20	1.0	5	5
Arginine and proline metabolism	30	1.0	5	5
Arginine and proline metabolism	40	1.0	5	5
Arginine and proline metabolism	50	1.0	4	4
Arginine and proline metabolism	100	1.0	4	4
Arginine and proline metabolism	200	1.0	1	1
Arginine and proline metabolism	300	1.0	1	1
Arginine and proline metabolism	400	1.0	1	1
Arginine biosynthesis	0	1.0	8	8
Arginine biosynthesis	10	1.0	8	8
Arginine biosynthesis	20	1.0	7	7
Arginine biosynthesis	30	1.0	7	7
Arginine biosynthesis	40	1.0	7	7
Arginine biosynthesis	50	1.0	7	7
Arginine biosynthesis	100	1.0	7	7
Arginine biosynthesis	200	1.0	7	7
Arginine biosynthesis	300	1.0	7	7
Arginine biosynthesis	400	1.0	7	7
Arginine biosynthesis	500	1.0	7	7
Arginine biosynthesis	600	1.0	7	7
Arginine biosynthesis	700	1.0	7	7
Arginine biosynthesis	800	1.0	7	7
Arginine biosynthesis	900	1.0	7	7
Axon guidance	0	0.8571428571428571	12	14
Axon guidance	10	0.9285714285714286	13	14
Axon guidance	20	0.9285714285714286	13	14
Axon guidance	30	0.8461538461538461	11	13
Axon guidance	40	0.9166666666666666	11	12
Axon guidance	50	0.8333333333333334	10	12
Axon guidance	100	0.75	6	8
Axon guidance	200	0.5714285714285714	4	7
Axon guidance	300	0.5714285714285714	4	7
Axon guidance	400	0.8571428571428571	6	7
Axon guidance	500	0.8571428571428571	6	7
Axon guidance	600	0.8571428571428571	6	7
Axon guidance	700	0.7142857142857143	5	7
Axon guidance	800	0.8333333333333334	5	6
Axon guidance	900	0.75	3	4
Axon guidance	1000	0.0	0	1
B cell receptor signaling pathway	0	1.0	12	12
B cell receptor signaling pathway	10	1.0	10	10
B cell receptor signaling pathway	20	0.8	8	10
B cell receptor signaling pathway	30	1.0	10	10
B cell receptor signaling pathway	40	1.0	10	10
B cell receptor signaling pathway	50	1.0	10	10
B cell receptor signaling pathway	100	0.75	6	8
B cell receptor signaling pathway	200	0.75	6	8
B cell receptor signaling pathway	300	0.75	6	8
B cell receptor signaling pathway	400	0.875	7	8
B cell receptor signaling pathway	500	0.8571428571428571	6	7
B cell receptor signaling pathway	600	1.0	7	7
B cell receptor signaling pathway	700	1.0	7	7
B cell receptor signaling pathway	800	1.0	7	7
B cell receptor signaling pathway	900	1.0	7	7
B cell receptor signaling pathway	1000	1.0	4	4
Basal transcription factors	0	1.0	2	2
Basal transcription factors	10	1.0	2	2
Basal transcription factors	20	1.0	1	1
Basal transcription factors	30	1.0	1	1
Basal transcription factors	40	1.0	1	1
Basal transcription factors	50	1.0	1	1
Basal transcription factors	100	1.0	1	1
Basal transcription factors	200	1.0	1	1
Basal transcription factors	300	1.0	1	1
Basal transcription factors	400	1.0	1	1
Basal transcription factors	500	1.0	1	1
Basal transcription factors	600	1.0	1	1
Basal transcription factors	700	1.0	1	1
Basal transcription factors	800	1.0	1	1
Basal transcription factors	900	1.0	1	1
Base excision repair	0	0.4375	7	16
Base excision repair	10	0.3333333333333333	5	15
Base excision repair	20	0.3333333333333333	5	15
Base excision repair	30	0.2857142857142857	4	14
Base excision repair	40	0.3076923076923077	4	13
Base excision repair	50	0.16666666666666666	2	12
Base excision repair	100	0.16666666666666666	2	12
Base excision repair	200	0.16666666666666666	2	12
Base excision repair	300	0.3333333333333333	4	12
Base excision repair	400	0.5454545454545454	6	11
Base excision repair	500	0.36363636363636365	4	11
Base excision repair	600	0.36363636363636365	4	11
Base excision repair	700	0.36363636363636365	4	11
Base excision repair	800	0.36363636363636365	4	11
Base excision repair	900	0.36363636363636365	4	11
Base excision repair	1000	0.4	2	5
Bile secretion	0	0.9333333333333333	14	15
Bile secretion	10	0.9230769230769231	12	13
Bile secretion	20	0.9166666666666666	11	12
Bile secretion	30	1.0	12	12
Bile secretion	40	0.9166666666666666	11	12
Bile secretion	50	0.9166666666666666	11	12
Bile secretion	100	0.9166666666666666	11	12
Bile secretion	200	0.9166666666666666	11	12
Bile secretion	300	0.9090909090909091	10	11
Bile secretion	400	0.9	9	10
Bile secretion	500	0.9	9	10
Bile secretion	600	0.9	9	10
Bile secretion	700	0.9	9	10
Bile secretion	800	0.8888888888888888	8	9
Bile secretion	900	0.875	7	8
Biosynthesis of unsaturated fatty acids	0	1.0	3	3
Biosynthesis of unsaturated fatty acids	10	1.0	3	3
Biosynthesis of unsaturated fatty acids	20	1.0	3	3
Biosynthesis of unsaturated fatty acids	30	1.0	3	3
Biosynthesis of unsaturated fatty acids	40	1.0	3	3
Biosynthesis of unsaturated fatty acids	50	1.0	3	3
Biosynthesis of unsaturated fatty acids	100	1.0	3	3
Biosynthesis of unsaturated fatty acids	200	1.0	3	3
Biosynthesis of unsaturated fatty acids	300	1.0	3	3
Biosynthesis of unsaturated fatty acids	400	1.0	3	3
Biosynthesis of unsaturated fatty acids	500	1.0	2	2
Biosynthesis of unsaturated fatty acids	600	1.0	1	1
Biosynthesis of unsaturated fatty acids	700	1.0	1	1
Biosynthesis of unsaturated fatty acids	800	1.0	1	1
Biosynthesis of unsaturated fatty acids	900	1.0	1	1
Butanoate metabolism	0	1.0	4	4
Butanoate metabolism	10	1.0	4	4
Butanoate metabolism	20	1.0	3	3
Butanoate metabolism	30	1.0	3	3
Butanoate metabolism	40	1.0	3	3
Butanoate metabolism	50	1.0	3	3
Butanoate metabolism	100	1.0	3	3
Butanoate metabolism	200	1.0	2	2
Butanoate metabolism	300	1.0	1	1
Butanoate metabolism	400	1.0	1	1
Butanoate metabolism	500	1.0	1	1
Butanoate metabolism	600	1.0	1	1
Butanoate metabolism	700	1.0	1	1
Butanoate metabolism	800	1.0	1	1
Butanoate metabolism	900	1.0	1	1
Butanoate metabolism	1000	1.0	1	1
C-type lectin receptor signaling pathway	0	1.0	9	9
C-type lectin receptor signaling pathway	10	0.8888888888888888	8	9
C-type lectin receptor signaling pathway	20	0.8888888888888888	8	9
C-type lectin receptor signaling pathway	30	0.8888888888888888	8	9
C-type lectin receptor signaling pathway	40	0.8888888888888888	8	9
C-type lectin receptor signaling pathway	50	1.0	9	9
C-type lectin receptor signaling pathway	100	1.0	7	7
C-type lectin receptor signaling pathway	200	1.0	6	6
C-type lectin receptor signaling pathway	300	1.0	6	6
C-type lectin receptor signaling pathway	400	1.0	6	6
C-type lectin receptor signaling pathway	500	1.0	4	4
C-type lectin receptor signaling pathway	600	1.0	4	4
C-type lectin receptor signaling pathway	700	1.0	4	4
C-type lectin receptor signaling pathway	800	1.0	4	4
C-type lectin receptor signaling pathway	900	1.0	4	4
C-type lectin receptor signaling pathway	1000	1.0	1	1
Calcium signaling pathway	0	0.8333333333333334	50	60
Calcium signaling pathway	10	0.75	42	56
Calcium signaling pathway	20	0.7735849056603774	41	53
Calcium signaling pathway	30	0.7647058823529411	39	51
Calcium signaling pathway	40	0.8	40	50
Calcium signaling pathway	50	0.8125	39	48
Calcium signaling pathway	100	0.75	33	44
Calcium signaling pathway	200	0.7560975609756098	31	41
Calcium signaling pathway	300	0.7560975609756098	31	41
Calcium signaling pathway	400	0.775	31	40
Calcium signaling pathway	500	0.7948717948717948	31	39
Calcium signaling pathway	600	0.8108108108108109	30	37
Calcium signaling pathway	700	0.8378378378378378	31	37
Calcium signaling pathway	800	0.8378378378378378	31	37
Calcium signaling pathway	900	0.8378378378378378	31	37
Calcium signaling pathway	1000	0.8181818181818182	9	11
Carbohydrate digestion and absorption	0	1.0	4	4
Carbohydrate digestion and absorption	10	1.0	4	4
Carbohydrate digestion and absorption	20	1.0	4	4
Carbohydrate digestion and absorption	30	1.0	4	4
Carbohydrate digestion and absorption	40	1.0	2	2
Carbohydrate digestion and absorption	50	1.0	2	2
Carbohydrate digestion and absorption	100	1.0	1	1
Carbohydrate digestion and absorption	200	1.0	1	1
Carbohydrate digestion and absorption	300	1.0	1	1
Carbohydrate digestion and absorption	400	1.0	1	1
Carbohydrate digestion and absorption	500	1.0	1	1
Carbohydrate digestion and absorption	600	1.0	1	1
Carbohydrate digestion and absorption	700	1.0	1	1
Carbohydrate digestion and absorption	800	1.0	1	1
Carbohydrate digestion and absorption	900	1.0	1	1
Cardiac muscle contraction	0	1.0	9	9
Cardiac muscle contraction	10	0.6666666666666666	6	9
Cardiac muscle contraction	20	0.8888888888888888	8	9
Cardiac muscle contraction	30	1.0	9	9
Cardiac muscle contraction	40	0.8888888888888888	8	9
Cardiac muscle contraction	50	0.8888888888888888	8	9
Cardiac muscle contraction	100	0.8888888888888888	8	9
Cardiac muscle contraction	200	1.0	9	9
Cardiac muscle contraction	300	1.0	9	9
Cardiac muscle contraction	400	1.0	8	8
Cardiac muscle contraction	500	1.0	8	8
Cardiac muscle contraction	600	1.0	8	8
Cardiac muscle contraction	700	1.0	8	8
Cardiac muscle contraction	800	1.0	8	8
Cardiac muscle contraction	900	1.0	8	8
Cardiac muscle contraction	1000	1.0	4	4
Cell adhesion molecules	0	0.9333333333333333	14	15
Cell adhesion molecules	10	0.8461538461538461	11	13
Cell adhesion molecules	20	0.8181818181818182	9	11
Cell adhesion molecules	30	0.7	7	10
Cell adhesion molecules	40	0.7	7	10
Cell adhesion molecules	50	0.6	6	10
Cell adhesion molecules	100	0.625	5	8
Cell adhesion molecules	200	0.3333333333333333	2	6
Cell adhesion molecules	300	0.3333333333333333	2	6
Cell adhesion molecules	400	0.5	3	6
Cell adhesion molecules	500	0.6666666666666666	4	6
Cell adhesion molecules	600	0.8333333333333334	5	6
Cell adhesion molecules	700	0.8333333333333334	5	6
Cell adhesion molecules	800	0.8333333333333334	5	6
Cell adhesion molecules	900	0.8333333333333334	5	6
Cell adhesion molecules	1000	0.5	1	2
Cell cycle	0	0.5714285714285714	16	28
Cell cycle	10	0.6538461538461539	17	26
Cell cycle	20	0.7083333333333334	17	24
Cell cycle	30	0.7083333333333334	17	24
Cell cycle	40	0.6521739130434783	15	23
Cell cycle	50	0.6521739130434783	15	23
Cell cycle	100	0.5789473684210527	11	19
Cell cycle	200	0.5294117647058824	9	17
Cell cycle	300	0.5	8	16
Cell cycle	400	0.4666666666666667	7	15
Cell cycle	500	0.5	7	14
Cell cycle	600	0.5714285714285714	8	14
Cell cycle	700	0.5714285714285714	8	14
Cell cycle	800	0.5384615384615384	7	13
Cell cycle	900	0.45454545454545453	5	11
Cell cycle	1000	0.25	1	4
Cellular senescence	0	0.5	2	4
Cellular senescence	10	0.75	3	4
Cellular senescence	20	0.75	3	4
Cellular senescence	30	0.75	3	4
Cellular senescence	40	0.75	3	4
Cellular senescence	50	0.75	3	4
Cellular senescence	100	0.75	3	4
Cellular senescence	200	0.3333333333333333	1	3
Cellular senescence	300	0.3333333333333333	1	3
Cellular senescence	400	0.3333333333333333	1	3
Cellular senescence	500	0.3333333333333333	1	3
Cellular senescence	600	0.3333333333333333	1	3
Cellular senescence	700	0.3333333333333333	1	3
Cellular senescence	800	0.3333333333333333	1	3
Cellular senescence	900	0.3333333333333333	1	3
Cellular senescence	1000	0.0	0	1
Chemokine signaling pathway	0	1.0	7	7
Chemokine signaling pathway	10	1.0	7	7
Chemokine signaling pathway	20	1.0	7	7
Chemokine signaling pathway	30	1.0	7	7
Chemokine signaling pathway	40	1.0	7	7
Chemokine signaling pathway	50	1.0	7	7
Chemokine signaling pathway	100	1.0	6	6
Chemokine signaling pathway	200	1.0	6	6
Chemokine signaling pathway	300	1.0	6	6
Chemokine signaling pathway	400	1.0	6	6
Chemokine signaling pathway	500	1.0	6	6
Chemokine signaling pathway	600	1.0	6	6
Chemokine signaling pathway	700	1.0	6	6
Chemokine signaling pathway	800	1.0	6	6
Chemokine signaling pathway	900	1.0	6	6
Chemokine signaling pathway	1000	1.0	1	1
Cholesterol metabolism	0	0.9473684210526315	18	19
Cholesterol metabolism	10	0.8888888888888888	16	18
Cholesterol metabolism	20	0.9444444444444444	17	18
Cholesterol metabolism	30	0.9444444444444444	17	18
Cholesterol metabolism	40	0.8947368421052632	17	19
Cholesterol metabolism	50	0.8888888888888888	16	18
Cholesterol metabolism	100	0.9444444444444444	17	18
Cholesterol metabolism	200	0.9411764705882353	16	17
Cholesterol metabolism	300	0.9285714285714286	13	14
Cholesterol metabolism	400	0.9285714285714286	13	14
Cholesterol metabolism	500	0.9285714285714286	13	14
Cholesterol metabolism	600	0.9285714285714286	13	14
Cholesterol metabolism	700	0.9285714285714286	13	14
Cholesterol metabolism	800	0.9230769230769231	12	13
Cholesterol metabolism	900	0.9090909090909091	10	11
Cholesterol metabolism	1000	1.0	3	3
Cholinergic synapse	0	1.0	7	7
Cholinergic synapse	10	0.6	3	5
Cholinergic synapse	20	0.6666666666666666	4	6
Cholinergic synapse	30	0.6666666666666666	4	6
Cholinergic synapse	40	0.6666666666666666	4	6
Cholinergic synapse	50	0.6666666666666666	4	6
Cholinergic synapse	100	0.8333333333333334	5	6
Cholinergic synapse	200	0.6666666666666666	4	6
Cholinergic synapse	300	0.6666666666666666	4	6
Cholinergic synapse	400	0.6	3	5
Cholinergic synapse	500	0.75	3	4
Cholinergic synapse	600	0.6666666666666666	2	3
Cholinergic synapse	700	0.6666666666666666	2	3
Cholinergic synapse	800	0.6666666666666666	2	3
Cholinergic synapse	900	0.6666666666666666	2	3
Cholinergic synapse	1000	1.0	2	2
Circadian entrainment	0	1.0	1	1
Circadian entrainment	10	1.0	1	1
Circadian entrainment	20	1.0	1	1
Circadian entrainment	30	1.0	1	1
Circadian entrainment	40	1.0	1	1
Circadian rhythm	0	0.6666666666666666	2	3
Circadian rhythm	10	0.6666666666666666	2	3
Circadian rhythm	20	0.6666666666666666	2	3
Circadian rhythm	30	0.6666666666666666	2	3
Circadian rhythm	40	0.6666666666666666	2	3
Circadian rhythm	50	0.5	1	2
Circadian rhythm	100	0.5	1	2
Circadian rhythm	200	0.0	0	1
Circadian rhythm	300	0.0	0	1
Circadian rhythm	400	0.0	0	1
Circadian rhythm	500	0.0	0	1
Circadian rhythm	600	0.0	0	1
Circadian rhythm	700	0.0	0	1
Circadian rhythm	800	0.0	0	1
Circadian rhythm	900	0.0	0	1
Circadian rhythm	1000	0.0	0	1
Citrate cycle (TCA cycle)	0	0.9166666666666666	11	12
Citrate cycle (TCA cycle)	10	0.8181818181818182	9	11
Citrate cycle (TCA cycle)	20	0.8888888888888888	8	9
Citrate cycle (TCA cycle)	30	0.8888888888888888	8	9
Citrate cycle (TCA cycle)	40	0.8888888888888888	8	9
Citrate cycle (TCA cycle)	50	0.8888888888888888	8	9
Citrate cycle (TCA cycle)	100	0.875	7	8
Citrate cycle (TCA cycle)	200	0.8571428571428571	6	7
Citrate cycle (TCA cycle)	300	0.8571428571428571	6	7
Citrate cycle (TCA cycle)	400	0.8571428571428571	6	7
Citrate cycle (TCA cycle)	500	0.8571428571428571	6	7
Citrate cycle (TCA cycle)	600	0.8571428571428571	6	7
Citrate cycle (TCA cycle)	700	0.8571428571428571	6	7
Citrate cycle (TCA cycle)	800	0.8571428571428571	6	7
Citrate cycle (TCA cycle)	900	0.8571428571428571	6	7
Citrate cycle (TCA cycle)	1000	1.0	6	6
Collecting duct acid secretion	0	1.0	4	4
Collecting duct acid secretion	10	1.0	4	4
Collecting duct acid secretion	20	1.0	4	4
Collecting duct acid secretion	30	1.0	3	3
Collecting duct acid secretion	40	1.0	3	3
Collecting duct acid secretion	50	1.0	3	3
Collecting duct acid secretion	100	1.0	3	3
